,Term,Antonyms,Synonyms
83,synthesis,"['division', 'separation', 'parting']","['amalgam', 'fusion', 'brew', 'combination', 'concoction', 'mixture', 'synthesis', 'combo', 'consolidation', 'merger']"
84,reactive,"['ignorant', 'impassive', 'indifferent', 'insensitive', 'merciless', 'senseless', 'unaware', 'unconscious', 'unfeeling', 'unfriendly']","['active', 'aware', 'compassionate', 'conscious', 'receptive', 'sensible', 'sensitive', 'susceptible', 'sympathetic', 'delicate']"
85,uniform,"['disorderly', 'flexible', 'pliable', 'pliant', 'soft', 'unmethodical', 'unsystematic', 'yielding', 'unlike', 'dissimilar']","['homogeneous', 'inflexible', 'orderly', 'reliable', 'rigid', 'systematic', 'identical', 'attire', 'costume', 'dress']"
86,cohesive,"['detached', 'divided', 'loose', 'separated', 'afraid', 'weak', 'yielding', 'kind', 'unreliable', 'irresolute']","['close-knit', 'united', 'cohesive', 'determined', 'dogged', 'forceful', 'persistent', 'relentless', 'resolute', 'spunky']"
87,conductive,['nonconductive'],['conductive']
88,hindrance,"['advantage', 'aid', 'assistance', 'benefit', 'help', 'opening', 'freedom']","['barrier', 'deterrent', 'drawback', 'handicap', 'hitch', 'impediment', 'interference', 'interruption', 'obstacle', 'snag']"
89,feedback,"['leave', 'wonder', 'agree', 'question', 'ask', 'renounce', 'ignore', 'request', 'trouble', 'problem']","['assessment', 'comment', 'criticism', 'evaluation', 'observation', 'reaction', 'acknowledge', 'argue', 'claim', 'defend']"
90,gaseous,"['poor', 'steady', 'constant', 'sure', 'definite', 'certain', 'dependable', 'stable', 'reliable']","['breezy', 'uncluttered', 'airy', 'celestial', 'exquisite', 'ghostly', 'intangible', 'sublime', 'imperceptible', 'microscopic']"
91,barrier,"['assistance', 'help', 'opening', 'advantage', 'aid', 'benefit', 'freedom', 'center', 'middle', 'interior']","['barricade', 'blockade', 'boundary', 'fence', 'hurdle', 'impediment', 'limit', 'obstacle', 'railing', 'roadblock']"
92,aggregation,"['shrinkage', 'decrease', 'one', 'individual', 'whole']","['accretion', 'aggregation', 'build-up', 'growth', 'inflation', 'pile', 'quantity', 'everyone', 'everything', 'group']"
93,inclusion,['exclusion'],"['admittance', 'formation', 'incorporation', 'involvement', 'extension', 'inclusion', 'apotheosis', 'archetype', 'avatar', 'epitome']"
94,microscopic,"['big', 'huge', 'large', 'obvious', 'significant', 'important']","['atomic', 'imperceptible', 'infinitesimal', 'invisible', 'minuscule', 'negligible', 'teeny', 'microscopic', 'gradual', 'inaudible']"
95,ethane,[],"['ethane', 'C2H6']"
96,sulfur,[],"['sulfur', 'atomic number 16', 'S', 'sulphur']"
97,cracking,"['aid', 'assist', 'combine', 'cure', 'fix', 'heal', 'help', 'mend', 'minute', 'small']","['burst', 'chop', 'crash', 'damage', 'explode', 'fracture', 'hurt', 'injure', 'pop', 'snap']"
98,mineral,[],"['golden', 'silvery', 'alloy', 'hardware', 'ingot', 'ore', 'fiber', 'food', 'vitamin', 'earth']"
99,stability,"['agitation', 'disagreement', 'fighting', 'discord', 'lethargy', 'apathy', 'weakness', 'unsteadiness', 'instability']","['balance', 'cohesion', 'establishment', 'security', 'strength', 'support', 'stability', 'equilibrium', 'aplomb', 'dignity']"
100,magnesium,[],"['Mg', 'magnesium', 'atomic number 12']"
