,Antonyms,Term,Synonyms
34,"['discourage', 'check', 'stop', 'halt', 'delay', 'cease', 'block', 'slow', 'hinder']",tool,"['apparatus', 'appliance', 'device', 'engine', 'gadget', 'gizmo', 'machine', 'means', 'mechanism', 'utensil', 'weapon', 'medium', 'accessory', 'advance', 'expedite', 'further', 'hasten', 'quicken', 'spur', 'stimulate', 'instrument', 'tool']"
35,[''],jpg,['']
36,[''],diamond,"['gem', 'jewel', 'rhinestone', 'field', 'gym', 'gymnasium', 'park', 'ring', 'rink', 'square', 'stadium', 'stage', 'course', 'court', 'green', 'range', 'terrain', 'track', 'turf', 'amphitheater', 'garden']"
37,"['love', 'peace', 'harmony', 'concord', 'agreement', 'pleasure', 'liking', 'accord', 'happiness', 'like', 'approval', 'sympathy', 'respect', 'kindness', 'friendship', 'ratification', 'concurrence', 'authorization', 'understanding', 'juncture']",friction,"['agitation', 'erosion', 'irritation', 'resistance', 'discontent', 'disharmony', 'discord', 'hostility', 'antagonism', 'dissension', 'resentment', 'trouble', 'strife', 'hassle', 'animosity', 'quarrel', 'rivalry', 'hatred', 'conflict', 'dispute', 'wrangling', 'bickering', 'animus', 'antipathy', 'disagreement', 'enmity', 'friction', 'rancor', 'competition', 'difference', 'dissent', 'argument', 'clash', 'controversy', 'debate', 'disunity', 'division', 'feud', 'fight', 'misunderstanding', 'opposition', 'spat', 'split', 'squabble', 'tension', 'wrangle']"
38,[''],to,['']
39,"['immediate', 'short-term']",longitudinal,"['lengthwise', 'long', 'long-term']"
40,[''],that,"['which', 'who', 'other', 'that', 'whatever']"
41,[''],cnt,['']
42,[''],west,['']
43,"['understanding', 'light', 'brightness', 'cognizance', 'middle', 'interior', 'core']",film,"['flick', 'picture', 'cinema', 'show', 'footage', 'shoot', 'photograph', 'carpet', 'cloak', 'coat', 'coating', 'comforter', 'layer', 'mat', 'quilt', 'rug', 'sheet', 'drive-in', 'film', 'darkness', 'fog', 'gloom', 'mist', 'puff', 'smog', 'smoke', 'steam', 'vapor', 'veil', 'blanket', 'crust', 'glaze', 'membrane', 'patina', 'skin', 'varnish', 'veneer', 'surface']"
44,[''],the,['']
45,[''],is,['']
46,[''],spectra,"['scope', 'gamut', 'sphere', 'range', 'continuum']"
47,[''],can,"['bottle', 'bucket', 'canister', 'jar', 'package', 'pot', 'keep', 'commit', 'manage', 'end', 'halt', 'hold', 'stay']"
48,"['increase', 'rise', 'success', 'approve', 'allow', 'accept', 'sanction', 'grant', 'win', 'reach', 'strengthen', 'advance', 'extend', 'expand', 'develop', 'raise', 'improve', 'ascend', 'enlarge', 'grow', 'praise', 'laud', 'compliment', 'forward', 'do', 'continue']",decline,"['deterioration', 'downturn', 'drop', 'failure', 'fall', 'recession', 'slump', 'weakening', 'loss', 'slide', 'decrease', 'dip', 'drop-off', 'refuse', 'dismiss', 'deny', 'reject', 'lower', 'return', 'wane', 'dwindle', 'recede', 'sag', 'worsen', 'sink', 'fail', 'diminish', 'deteriorate', 'shrink', 'depreciate', 'weaken', 'dull', 'ebb', 'slacken', 'slow', 'subside', 'taper', 'cease', 'forgo', 'quit', 'refrain', 'renounce', 'shun', 'withhold']"
49,"['happy', 'joyful', 'cheerful']",at,"['gloomy', 'lugubrious', 'melancholy', 'wistful']"
50,[''],we,['we']
51,[''],are,['']
52,"['cool', 'advantage', 'health']",temperature,"['climate', 'cold', 'condition', 'heat', 'warmth', 'humidity', 'temperature', 'Cancer', 'contamination', 'defect', 'disorder', 'epidemic', 'fever', 'flu', 'illness', 'infection', 'inflammation', 'malady', 'plague', 'sickness', 'stroke', 'syndrome', 'virus']"
53,[''],with,"['also', 'simultaneously', 'too', 'through']"
54,"['discourage', 'decline', 'disagree', 'oppose', 'dissuade', 'dispute', 'repudiate', 'invalidate', 'disprove', 'destroy', 'disapprove', 'contradict', 'renounce', 'veto', 'refuse', 'protest', 'disallow', 'reject', 'deny']",second,"['moment', 'double', 'runner-up', 'assist', 'assistant', 'deputy', 'supporter', 'different', 'accept', 'advocate', 'agree', 'authorize', 'certify', 'confirm', 'endorse', 'establish', 'license', 'okay', 'permit', 'ratify', 'recommend', 'sanction', 'sign', 'support', 'uphold']"
55,[''],antunes,['']
56,[''],laser,"['bar', 'glow', 'radiation', 'ray', 'shaft', 'laser']"
57,[''],cnf,['']
58,"['disorganization', 'unemployment', 'lawlessness', 'veto', 'denial', 'forget', 'keep', 'disorder', 'disarrange', 'disturb', 'disorganize']",order,"['form', 'line', 'plan', 'procedure', 'regulation', 'rule', 'structure', 'system', 'control', 'law', 'peace', 'position', 'place', 'decree', 'instruction', 'directive', 'permission', 'injunction', 'direction', 'charge', 'mandate', 'authorization', 'application', 'shipment', 'purchase', 'hire', 'buy', 'direct', 'require', 'request', 'warn', 'instruct', 'obtain', 'tell', 'distribute', 'file', 'conduct', 'establish', 'assign', 'amendment', 'bill', 'measure', 'resolution', 'statute', 'accommodate', 'accustom', 'adapt', 'alter', 'conform', 'fine-tune', 'fix', 'modify', 'regulate', 'tailor']"
59,[''],bands,"['line', 'ring', 'tape', 'gathering', 'corps', 'club', 'company', 'troop', 'collection', 'crew', 'gang', 'party', 'troupe', 'bunch', 'symphony', 'orchestra', 'ensemble', 'cooperative', 'corporation', 'federation', 'guild', 'league', 'organization', 'partnership', 'society', 'tribe', 'union', 'folder', 'notebook']"
60,[''],band,"['line', 'ring', 'tape', 'gathering', 'corps', 'club', 'company', 'troop', 'collection', 'crew', 'gang', 'party', 'troupe', 'bunch', 'symphony', 'orchestra', 'ensemble', 'cooperative', 'corporation', 'federation', 'guild', 'league', 'organization', 'partnership', 'society', 'tribe', 'union', 'folder', 'notebook']"
61,[''],this,['that']
62,[''],crystallinity,['']
63,"['improper', 'incorrect', 'unsuitable', 'irrelevant', 'inappropriate']",fitting,"['apt', 'felicitous', 'proper', 'furniture', 'compromise', 'reconciliation', 'alteration', 'arrangement', 'improvement', 'modification', 'readjustment', 'regulation', 'allowed', 'justifiable', 'permissible', 'pertinent', 'relevant', 'desirable', 'prudent']"
64,[''],gif,['']
65,[''],fwhm,['']
66,[''],mwcnt,['']
67,['whole'],samples,"['case', 'fragment', 'pattern', 'piece', 'sampling', 'specimen', 'savor', 'examine', 'sip', 'inspect']"
68,"['quit', 'die', 'depart', 'leave', 'go', 'stop', 'halt', 'cease']",be,"['dwell', 'subsist', 'exist', 'hold', 'linger', 'live', 'persist', 'remain', 'stay', 'survive', 'sustain']"
69,"['disagree', 'discourage', 'criticize', 'neglect', 'oppose', 'censure', 'disallow', 'dissuade', 'protest', 'disapprove', 'reject', 'refuse']",for,"['since', 'accept', 'advocate', 'appreciate', 'approve', 'back', 'champion', 'choose', 'encourage', 'endorse', 'pick', 'praise', 'support']"
70,"['decline', 'decrease', 'failure', 'halt', 'loss', 'stagnation', 'stop', 'worsening', 'shrinkage', 'retrogression', 'retreat', 'diminishment', 'stoppage']",growth,"['advance', 'advancement', 'expansion', 'gain', 'hike', 'improvement', 'increase', 'production', 'prosperity', 'rise', 'success', 'surge', 'accretion', 'aggregation', 'build-up', 'growth', 'inflation', 'pile', 'quantity', 'boost', 'breakthrough', 'development', 'progress', 'step', 'upgrading']"
71,[''],raman,['']
72,"['disorganization', 'disorder']",structure,"['architecture', 'arrangement', 'complex', 'construction', 'design', 'format', 'formation', 'framework', 'network', 'organization', 'system', 'house', 'edifice', 'bureaucracy', 'hierarchy', 'structure', 'composition', 'distribution', 'form', 'method', 'pattern', 'compound', 'contour', 'shape']"
73,[''],torus,['']
74,[''],woy,['']
75,"['free', 'liberate', 'release']",cage,"['crate', 'enclosure', 'jail', 'pen', 'carcass', 'corpse', 'skeleton', 'apartment', 'cage', 'chamber', 'cubicle', 'constrain', 'detain', 'hinder', 'imprison', 'incarcerate', 'restrain', 'restrict']"
76,[''],cowley,['']
77,[''],wc,"['latrine', 'restroom', 'toilet', 'bathroom', 'lavatory', 'outbuilding', 'outhouse', 'urinal']"
78,"['empty', 'exposed', 'bare', 'open', 'uncovered', 'disapproved']",closed,"['bankrupt', 'locked', 'sealed', 'ended', 'decided', 'settled', 'concluded', 'resolved', 'restricted', 'impenetrable', 'impassable', 'choked', 'crowded', 'glutted', 'gridlocked', 'jammed', 'overcrowded', 'teeming', 'camouflaged', 'capped', 'closed', 'coated', 'concealed', 'enclosed', 'hidden', 'painted', 'protected', 'shielded', 'topped', 'wrapped', 'coming', 'designed', 'doomed', 'intended', 'accepted', 'approved', 'confirmed', 'endorsed', 'identified']"
79,"['discouragement', 'effect', 'result', 'annoyance', 'gloom', 'injury', 'hurt', 'hindrance', 'doubt', 'distrust']",stimulation,"['incentive', 'stimulant', 'element', 'explanation', 'matter', 'motivation', 'motive', 'origin', 'principle', 'purpose', 'root', 'source', 'assistance', 'backing', 'cheer', 'comfort', 'confidence', 'consolation', 'faith', 'fortitude', 'inspiration', 'optimism', 'reassurance', 'relief', 'reward', 'stimulation', 'stimulus']"
80,[''],kang,['']
81,[''],electron,"['heat', 'service']"
82,[''],graphitic,['']
83,"['free', 'release']",rings,"['arena', 'band', 'round', 'camp', 'gang', 'syndicate', 'racket', 'organization', 'circle', 'cartel', 'pool', 'enclose', 'surround', 'sound', 'resound', 'punch', 'clang', 'resonate', 'bang', 'buzz', 'reverberate', 'clap', 'connection', 'partnership', 'relationship', 'field', 'gym', 'gymnasium', 'park', 'ring', 'rink', 'square', 'stadium', 'stage', 'club', 'company', 'cooperative', 'corporation', 'federation', 'guild', 'league', 'society', 'tribe', 'union', 'line', 'tape']"
84,[''],pentagonal,['']
85,"['core', 'build', 'protect', 'aid', 'create']",shell,"['ammo', 'armament', 'bomb', 'bullet', 'cartridge', 'chemical', 'explosive', 'gunpowder', 'materiel', 'missile', 'munition', 'napalm', 'rocket', 'shrapnel', 'torpedo', 'crust', 'husk', 'skin', 'bodice', 'pullover', 'turtleneck', 'attack', 'blast', 'bombard', 'destroy', 'raid', 'strafe', 'device', 'mine', 'projectile', 'barrage', 'batter', 'besiege', 'blitz', 'harass', 'hound', 'pester']"
86,[''],by,"['aside', 'away', 'through', 'along', 'up']"
87,[''],toroidal,['']
88,[''],iijima,['']
89,[''],mvocc,['']
90,['whole'],sphere,"['circle', 'orb', 'planet', 'field', 'realm', 'scope', 'city', 'county', 'locality', 'neighborhood', 'section', 'sector', 'square', 'state', 'territory', 'township', 'zone', 'scene', 'sphere', 'stratum', 'ring']"
91,[''],spheres,"['circle', 'orb', 'planet', 'field', 'realm', 'scope']"
92,"['lot', 'entirety', 'whole']",atoms,"['chunk', 'dose', 'fragment', 'item', 'part', 'portion', 'sample', 'shard', 'slice', 'sliver', 'snippet', 'taste', 'trace', 'dab', 'droplet', 'fleck', 'speck', 'bit', 'hunk', 'particle', 'piece', 'remnant', 'scrap', 'shred']"
93,['straighten'],spiral,"['circling', 'coiled', 'bow', 'buckle', 'crouch', 'curl', 'flex', 'incline', 'lean', 'stoop', 'tilt', 'twist', 'veer', 'encircle', 'rotate', 'surround', 'whirl']"
94,"['individual', 'divide', 'spread', 'separate', 'scatter', 'disperse']",clusters,"['array', 'assemblage', 'band', 'batch', 'bunch', 'bundle', 'chunk', 'clump', 'collection', 'knot', 'flock', 'gather']"
95,[''],wo,['']
96,[''],nanosize,['']
97,[''],cgo,['']
98,[''],maga,['']
99,[''],onion,['']
100,[''],heptagonal,['']
101,"['lot', 'entirety', 'whole', 'fix', 'mend']",flakes,"['leaf', 'exfoliate', 'sliver', 'chunk', 'dose', 'fragment', 'item', 'part', 'portion', 'sample', 'shard', 'slice', 'snippet', 'taste', 'trace', 'wafer', 'chop', 'crack', 'hack', 'nick', 'splinter', 'whack']"
102,['hold'],unclosed,"['release', 'free', 'expand', 'unlock', 'unravel', 'loosen']"
103,"['central', 'deep', 'interior', 'character', 'middle', 'core', 'personality', 'disappear', 'depart', 'miss', 'go', 'abandon', 'leave', 'hide', 'conceal', 'strip']",surface,"['exterior', 'facial', 'outer', 'outward', 'shallow', 'superficial', 'area', 'top', 'level', 'face', 'skin', 'façade', 'expanse', 'side', 'facade', 'materialize', 'emerge', 'appear', 'arise', 'arrive', 'come', 'develop', 'occur', 'present', 'show', 'surface', 'cover', 'glaze', 'laminate', 'paint', 'smear', 'stain', 'corrective']"
104,[''],hrtem,['']
105,[''],fullerenes,['']
106,"['dull', 'darken', 'receive', 'keep', 'hide', 'withhold', 'suppress', 'conceal']",beam,"['girder', 'joist', 'piling', 'pillar', 'plank', 'pole', 'scaffolding', 'shaft', 'sill', 'timber', 'radiation', 'bar', 'glow', 'ray', 'laser', 'shine', 'glare', 'transmit', 'radiate', 'emit', 'smirk', 'laugh', 'grin', 'burn', 'flare', 'lantern', 'radar', 'burst', 'explode', 'flash', 'flicker', 'gleam', 'illuminate', 'shimmer', 'sparkle', 'air', 'announce', 'beam', 'circulate', 'communicate', 'relay', 'send', 'televise', 'plaster', 'roof']"
107,[''],polymer,['']
108,"['maintain', 'keep', 'hold', 'lose', 'fail', 'avoid', 'refuse', 'allow', 'admit', 'plant', 'fix', 'accept', 'incorporate', 'include', 'welcome', 'repulse', 'disenchant', 'dodge']",transport,"['shipment', 'shipping', 'transit', 'transportation', 'ride', 'remove', 'bring', 'haul', 'take', 'lug', 'carry', 'ferry', 'ship', 'pack', 'displace', 'expel', 'move', 'send', 'dismiss', 'dispel', 'eject', 'eliminate', 'eradicate', 'evict', 'exclude', 'exile', 'isolate', 'ostracize', 'oust', 'outlaw', 'relegate', 'deliver', 'bear', 'import', 'lead', 'transfer', 'transport']"
109,"['vagueness', 'imprecision']",selectivity,"['particularity', 'precision']"
110,[''],btda,['']
111,[''],polymeric,['']
112,[''],gas,"['smoke', 'vapor', 'opiate', 'chatter', 'conversation', 'gossip']"
113,"['connection', 'juncture', 'marriage', 'union', 'agreement', 'closure', 'closing', 'peace']",separation,"['departure', 'disengagement', 'dissolution', 'divorce', 'estrangement', 'partition', 'segregation', 'split', 'disaffection', 'indifference', 'separation', 'inquiry', 'investigation', 'reasoning', 'scrutiny', 'search', 'study', 'test', 'discrimination', 'racism', 'rift', 'rupture', 'fight', 'trouble']"
114,[''],ipn,['']
115,[''],ipns,['']
116,[''],barrer,"['save', 'omission']"
117,[''],permselectivity,['']
118,[''],membr,['']
119,[''],permeability,['']
120,[''],cmsms,['']
121,[''],cmsm,['']
122,[''],pyrolysis,['']
123,[''],azide,['']
124,[''],matrimid,['']
125,"['named', 'known', 'true', 'genuine', 'actual', 'sincere', 'authentic', 'truthful', 'honest', 'valid', 'real', 'factual']",pseudo,"['nameless', 'undisclosed', 'unidentified', 'unnamed', 'unsigned', 'pretentious', 'fake', 'false', 'fictitious', 'forged', 'fraudulent', 'phony', 'sham', 'spurious', 'copied', 'bogus', 'counterfeit', 'fabricated', 'mock']"
126,[''],tmpda,['']
127,[''],polyimide,['']
128,[''],membranes,"['sheath', 'sheet', 'fur', 'leather', 'skin', 'wool', 'blanket', 'coat', 'crust', 'glaze', 'layer', 'membrane', 'patina', 'varnish', 'veneer', 'leaf']"
129,"['division', 'separation', 'parting']",composite,"['accumulated', 'combined', 'corporate', 'cumulative', 'admixture', 'alloy', 'amalgamation', 'amalgam', 'brew', 'combination', 'concoction', 'fusion', 'mixture', 'synthesis', 'combo', 'consolidation', 'merger', 'mix', 'sequence', 'solution']"
130,[''],electrochemical,['']
131,[''],leds,['']
132,[''],was,['']
133,[''],gunasekaran,['']
134,[''],ma,"['batty', 'distraught', 'grandmother', 'parent', 'mommy']"
135,[''],eg,['']
136,[''],supercapacitors,['']
137,[''],supercapacitor,['']
138,[''],device,"['accessory', 'apparatus', 'appliance', 'equipment', 'gadget', 'gear', 'machine', 'material', 'mechanism', 'design', 'method', 'strategy', 'device', 'gizmo', 'machinery', 'means', 'instrument', 'tool', 'contrivance', 'gimmick', 'adage', 'aphorism', 'dictum', 'maxim', 'precept', 'proverb', 'theorem']"
139,[''],prathap,['']
140,[''],graphene,['']
141,[''],cm,['']
142,[''],gcd,['']
143,[''],gce,['']
144,"['humble', 'insignificant', 'little', 'miniature', 'minute', 'short', 'small', 'teeny', 'tiny', 'unimportant', 'cheap', 'mild', 'low', 'tasteless', 'bland', 'normal', 'calm', 'soft', 'reasonable', 'moderate', 'poor', 'weak', 'inexpensive', 'indistinct', 'stupid', 'ignorant', 'trivial', 'minor', 'unself-confident', 'shy', 'modest', 'unconfident', 'dubious', 'doubtful', 'meek', 'timid', 'unsure', 'uncertain', 'worried', 'upset', 'light', 'airy', 'lifeless', 'sad', 'down', 'unenthusiastic', 'serious', 'unhappy', 'depressed', 'gloomy', 'dull', 'heavy-hearted', 'sorrowful', 'pessimistic', 'hopeless', 'pale', 'depressing', 'cloudy', 'lethargic', 'inactive', 'apathetic']",high,"['big', 'great', 'huge', 'immense', 'large', 'lofty', 'long', 'soaring', 'steep', 'tremendous', 'excessive', 'stiff', 'unusual', 'rich', 'sharp', 'strong', 'expensive', 'serious', 'significant', 'raised', 'audacious', 'certain', 'composed', 'confident', 'gutsy', 'poised', 'pushy', 'self-assured', 'self-confident', 'sure', 'unflappable', 'cumbersome', 'heavy', 'hulking', 'ponderous', 'unwieldy', 'animated', 'bright', 'buoyant', 'cheery', 'chipper', 'chirpy', 'effervescent', 'enthusiastic', 'good-natured', 'jaunty', 'jolly', 'joyful', 'lighthearted', 'lively', 'merry', 'optimistic', 'peppy', 'perky', 'pleasant', 'rosy', 'sanguine', 'sunny', 'upbeat']"
145,[''],wisconsin,['']
146,[''],density,"['frequency', 'quantity', 'thickness', 'intimacy', 'proximity', 'firmness', 'flexibility', 'texture', 'durability', 'hardness', 'inflexibility', 'toughness', 'density', 'number', 'prevalence', 'recurrence', 'regularity', 'repetition']"
147,[''],sasc,['']
148,[''],capacitance,['']
149,[''],mf,['']
150,"['failure', 'hiding', 'reality', 'inaction', 'idleness', 'impotence', 'forfeit', 'incompetence', 'ignorance', 'weakness', 'incapacity', 'inability', 'defeat', 'loss']",performance,"['achievement', 'act', 'conduct', 'work', 'play', 'concert', 'show', 'dance', 'appearance', 'drama', 'production', 'behavior', 'portrayal', 'presentation', 'display', 'opera', 'action', 'operation', 'practice', 'ability', 'capability', 'deed', 'effort', 'exploit', 'feat', 'performance', 'skill', 'talent', 'triumph', 'accomplishment', 'attainment', 'creation', 'realization', 'success', 'victory', 'attitude']"
151,[''],sadak,['']
152,[''],μwh,['']
153,[''],cv,['']
154,[''],pani,['']
155,[''],polyaniline,['']
156,[''],wang,['']
157,[''],electrode,['']
158,[''],madison,['']
159,"['disapproved', 'uncommon', 'irregular', 'different', 'unpopular', 'unusual', 'abnormal', 'old', 'unstylish', 'unfashionable', 'old-fashioned']",current,"['modern', 'ongoing', 'present', 'prevailing', 'tide', 'flood', 'river', 'stream', 'acknowledged', 'approved', 'authorized', 'confirmed', 'conventional', 'customary', 'endorsed', 'established', 'fashionable', 'popular', 'preferred', 'received', 'recognized', 'sanctioned', 'time-honored', 'universal', 'welcomed', 'current', 'exact', 'original', 'air', 'breath', 'gust', 'whiff', 'elegant', 'exclusive', 'mod', 'stylish', 'swank', 'trendy']"
160,"['bounded', 'brief', 'calculable', 'ceasing', 'ending', 'ephemeral', 'finite', 'intermittent', 'limited', 'little', 'measurable', 'minute', 'restricted', 'small', 'temporary', 'terminable', 'tiny', 'transient', 'qualified', 'unfinished', 'conditional', 'needy', 'incomplete', 'uncertain', 'indefinite', 'countable']",infinite,"['absolute', 'bottomless', 'boundless', 'enormous', 'eternal', 'everlasting', 'immeasurable', 'immense', 'incalculable', 'inexhaustible', 'interminable', 'never-ending', 'perpetual', 'unending', 'untold', 'vast', 'complete', 'full', 'infinite', 'outright', 'pure', 'sheer', 'simple', 'unadulterated', 'unconditional', 'unlimited', 'unqualified', 'utter', 'endless', 'unfathomable', 'limitless', 'tremendous']"
161,[''],papior,['']
162,[''],siesta,"['rest', 'sleep', 'sprawl']"
163,[''],falkenberg,['']
164,"['agitated', 'deliberate', 'difficult', 'excited', 'formal', 'intolerant', 'planned', 'premeditated', 'rigid', 'stiff', 'troubled', 'turbulent', 'violent', 'wild', 'worried', 'lifeless', 'serious', 'sad', 'unhappy', 'gloomy', 'depressed', 'heavy', 'heavyhearted', 'sorrowful', 'lethargic', 'inactive', 'apathetic', 'uncontrolled', 'unreasonable', 'unfriendly', 'excessive', 'immoderate', 'upset', 'nervous', 'hard', 'cool', 'cold', 'strict', 'uncomfortable', 'disagreeable', 'unsuited', 'unpleasant', 'dissatisfied']",relaxed,"['breezy', 'calm', 'carefree', 'casual', 'composed', 'easy', 'flexible', 'informal', 'nonchalant', 'placid', 'serene', 'spontaneous', 'tolerant', 'tranquil', 'detached', 'airy', 'blithe', 'buoyant', 'cheerful', 'jaunty', 'lively', 'peppy', 'racy', 'relaxed', 'sunny', 'aloof', 'amiable', 'amicable', 'gentle', 'impassive', 'levelheaded', 'moderate', 'sedate', 'temperate', 'unflappable', 'appropriate', 'complacent', 'convenient', 'cozy', 'enjoyable', 'happy', 'healthy', 'loose', 'pleasant', 'pleased', 'satisfying', 'snug', 'soft', 'useful', 'warm', 'confident', 'easygoing', 'poised', 'self-assured', 'unruffled']"
165,[''],zzs,['']
