,Word,Pair,Relationship,Quality,Cosine Score
735,decline,lower,syn,1,
737,decline,wane,syn,1,
738,decline,dwindle,syn,1,
739,decline,recede,syn,1,
741,decline,worsen,syn,1,
742,decline,sink,syn,1,
744,decline,diminish,syn,1,
745,decline,deteriorate,syn,1,
747,decline,depreciate,syn,1,
748,decline,weaken,syn,1,
753,decline,subside,syn,1,
754,decline,taper,syn,1,
755,decline,cease,syn,1,
769,we,we,syn,1,
773,temperature,climate,syn,1,
774,temperature,cold,syn,1,
776,temperature,heat,syn,1,
777,temperature,warmth,syn,1,
778,temperature,humidity,syn,1,
779,temperature,temperature,syn,1,
785,temperature,fever,syn,1,
813,second,veto,ant,1,
814,second,refuse,ant,1,
815,second,protest,ant,1,
817,second,reject,ant,1,
818,second,deny,ant,1,
821,second,runner-up,syn,1,
828,second,advocate,syn,1,
829,second,agree,syn,1,
839,second,recommend,syn,1,
842,second,support,syn,1,
847,laser,ray,syn,1,
849,laser,laser,syn,1,
850,order,disorganization,ant,1,
852,order,lawlessness,ant,1,
857,order,disorder,ant,1,
858,order,disarrange,ant,1,
859,order,disturb,ant,1,
860,order,disorganize,ant,1,
866,order,rule,syn,1,
867,order,structure,syn,1,
869,order,control,syn,1,
875,order,instruction,syn,1,
881,order,mandate,syn,1,
884,order,shipment,syn,1,
885,order,purchase,syn,1,
887,order,buy,syn,1,
888,order,direct,syn,1,
889,order,require,syn,1,
892,order,instruct,syn,1,
928,bands,bunch,syn,1,
929,bands,symphony,syn,1,
930,bands,orchestra,syn,1,
931,bands,ensemble,syn,1,
944,band,line,syn,1,
945,band,ring,syn,1,
947,band,gathering,syn,1,
952,band,collection,syn,1,
954,band,gang,syn,1,
957,band,bunch,syn,1,
960,band,ensemble,syn,1,
961,band,cooperative,syn,1,
963,band,federation,syn,1,
964,band,guild,syn,1,
965,band,league,syn,1,
966,band,organization,syn,1,
967,band,partnership,syn,1,
969,band,tribe,syn,1,
970,band,union,syn,1,
974,fitting,improper,ant,1,
975,fitting,incorrect,ant,1,
976,fitting,unsuitable,ant,1,
977,fitting,irrelevant,ant,1,
978,fitting,inappropriate,ant,1,
979,fitting,apt,syn,1,
989,fitting,readjustment,syn,1,
993,fitting,permissible,syn,1,
994,fitting,pertinent,syn,1,
995,fitting,relevant,syn,1,
998,samples,whole,ant,1,
1000,samples,fragment,syn,1,
1002,samples,piece,syn,1,
1003,samples,sampling,syn,1,
1004,samples,specimen,syn,1,
1005,samples,savor,syn,1,
1006,samples,examine,syn,1,
1008,samples,inspect,syn,1,
1010,be,die,ant,1,
1019,be,exist,syn,1,
1022,be,live,syn,1,
1023,be,persist,syn,1,
1024,be,remain,syn,1,
1025,be,stay,syn,1,
1028,for,disagree,ant,1,
1029,for,discourage,ant,1,
1030,for,criticize,ant,1,
1032,for,oppose,ant,1,
1036,for,protest,ant,1,
1037,for,disapprove,ant,1,
1038,for,reject,ant,1,
1039,for,refuse,ant,1,
1040,for,since,syn,1,
1041,for,accept,syn,1,
1042,for,advocate,syn,1,
1043,for,appreciate,syn,1,
1044,for,approve,syn,1,
1049,for,endorse,syn,1,
1053,growth,decline,ant,1,
1054,growth,decrease,ant,1,
1057,growth,loss,ant,1,
1058,growth,stagnation,ant,1,
1061,growth,shrinkage,ant,1,
1064,growth,diminishment,ant,1,
1066,growth,advance,syn,1,
1068,growth,expansion,syn,1,
1072,growth,increase,syn,1,
1077,growth,surge,syn,1,
1080,growth,build-up,syn,1,
1081,growth,growth,syn,1,
1082,growth,inflation,syn,1,
1087,growth,development,syn,1,
1088,growth,progress,syn,1,
1091,structure,disorganization,ant,1,
1092,structure,disorder,ant,1,
1093,structure,architecture,syn,1,
1094,structure,arrangement,syn,1,
1096,structure,construction,syn,1,
1097,structure,design,syn,1,
1098,structure,format,syn,1,
1099,structure,formation,syn,1,
1100,structure,framework,syn,1,
1102,structure,organization,syn,1,
1103,structure,system,syn,1,
1104,structure,house,syn,1,
1105,structure,edifice,syn,1,
1106,structure,bureaucracy,syn,1,
1107,structure,hierarchy,syn,1,
1108,structure,structure,syn,1,
1111,structure,form,syn,1,
1114,structure,compound,syn,1,
1117,cage,free,ant,1,
1118,cage,liberate,ant,1,
1119,cage,release,ant,1,
1120,cage,crate,syn,1,
1121,cage,enclosure,syn,1,
1122,cage,jail,syn,1,
1123,cage,pen,syn,1,
1128,cage,cage,syn,1,
1131,cage,constrain,syn,1,
1132,cage,detain,syn,1,
1134,cage,imprison,syn,1,
1136,cage,restrain,syn,1,
1137,cage,restrict,syn,1,
1147,closed,exposed,ant,1,
1149,closed,open,ant,1,
1150,closed,uncovered,ant,1,
1153,closed,locked,syn,1,
1154,closed,sealed,syn,1,
1155,closed,ended,syn,1,
1156,closed,decided,syn,1,
1157,closed,settled,syn,1,
1158,closed,concluded,syn,1,
1159,closed,resolved,syn,1,
1160,closed,restricted,syn,1,
1161,closed,impenetrable,syn,1,
1171,closed,capped,syn,1,
1172,closed,closed,syn,1,
1174,closed,concealed,syn,1,
1175,closed,enclosed,syn,1,
1176,closed,hidden,syn,1,
1179,closed,shielded,syn,1,
1188,closed,confirmed,syn,1,
1189,closed,endorsed,syn,1,
1191,stimulation,discouragement,ant,1,
1202,stimulation,stimulant,syn,1,
1226,stimulation,stimulation,syn,1,
1227,stimulation,stimulus,syn,1,
1236,rings,gang,syn,1,
1237,rings,syndicate,syn,1,
1239,rings,organization,syn,1,
1240,rings,circle,syn,1,
1241,rings,cartel,syn,1,
1243,rings,enclose,syn,1,
1244,rings,surround,syn,1,
1245,rings,sound,syn,1,
1246,rings,resound,syn,1,
1247,rings,punch,syn,1,
1252,rings,reverberate,syn,1,
1261,rings,ring,syn,1,
1262,rings,rink,syn,1,
1278,shell,core,ant,1,
1283,shell,ammo,syn,1,
1284,shell,armament,syn,1,
1285,shell,bomb,syn,1,
1286,shell,bullet,syn,1,
1287,shell,cartridge,syn,1,
1289,shell,explosive,syn,1,
1293,shell,munition,syn,1,
1298,shell,crust,syn,1,
1299,shell,husk,syn,1,
1304,shell,attack,syn,1,
1306,shell,bombard,syn,1,
1307,shell,destroy,syn,1,
1308,shell,raid,syn,1,
1309,shell,strafe,syn,1,
1312,shell,projectile,syn,1,
1313,shell,barrage,syn,1,
1314,shell,batter,syn,1,
1322,by,through,syn,1,
1323,by,along,syn,1,
1327,sphere,orb,syn,1,
1330,sphere,realm,syn,1,
1331,sphere,scope,syn,1,
1337,sphere,sector,syn,1,
1348,spheres,orb,syn,1,
1351,spheres,realm,syn,1,
1352,spheres,scope,syn,1,
1375,atoms,particle,syn,1,
1380,spiral,straighten,ant,1,
1382,spiral,coiled,syn,1,
1386,spiral,curl,syn,1,
1392,spiral,twist,syn,1,
1395,spiral,rotate,syn,1,
1397,spiral,whirl,syn,1,
1398,clusters,individual,ant,1,
1399,cluster,divide,ant,1,
1400,cluster,spread,ant,1,
1401,cluster,separate,ant,1,
1402,cluster,scatter,ant,1,
1403,cluster,disperse,ant,1,
1408,cluster,bunch,syn,1,
1411,cluster,clump,syn,1,
1415,cluster,gather,syn,1,
1423,flake,sliver,syn,1,
1431,flake,shard,syn,1,
1433,flake,snippet,syn,1,
1444,unclosed,release,syn,1,
1445,unclosed,free,syn,1,
1452,surface,interior,ant,1,
1454,surface,middle,ant,1,
1455,surface,core,ant,1,
1466,surface,exterior,syn,1,
1468,surface,outer,syn,1,
1475,surface,face,syn,1,
1476,surface,skin,syn,1,
1477,surface,façade,syn,1,
1480,surface,facade,syn,1,
1482,surface,emerge,syn,1,
1483,surface,appear,syn,1,
1484,surface,arise,syn,1,
1491,surface,surface,syn,1,
1492,surface,cover,syn,1,
1493,surface,glaze,syn,1,
1494,surface,laminate,syn,1,
1510,beam,pillar,syn,1,
1517,beam,radiation,syn,1,
1519,beam,glow,syn,1,
1520,beam,ray,syn,1,
1521,beam,laser,syn,1,
1522,beam,shine,syn,1,
1525,beam,radiate,syn,1,
1526,beam,emit,syn,1,
1573,transport,transportation,syn,1,
1580,transport,carry,syn,1,
1584,transport,displace,syn,1,
1586,transport,move,syn,1,
1601,transport,deliver,syn,1,
1603,transport,import,syn,1,
1605,transport,transfer,syn,1,
1606,transport,transport,syn,1,
1607,selectivity,vagueness,ant,1,
1608,selectivity,imprecision,ant,1,
1609,selectivity,particularity,syn,1,
1610,selectivity,precision,syn,1,
1611,gas,smoke,syn,1,
1612,gas,vapor,syn,1,
1617,separation,connection,ant,1,
1618,separation,juncture,ant,1,
1622,separation,closure,ant,1,
1625,separation,departure,syn,1,
1626,separation,disengagement,syn,1,
1629,separation,estrangement,syn,1,
1630,separation,partition,syn,1,
1631,separation,segregation,syn,1,
1632,separation,split,syn,1,
1635,separation,separation,syn,1,
1645,separation,rift,syn,1,
1653,pseudo,TRUE,ant,1,
1654,pseudo,genuine,ant,1,
1655,pseudo,actual,ant,1,
1657,pseudo,authentic,ant,1,
1658,pseudo,truthful,ant,1,
1660,pseudo,valid,ant,1,
1661,pseudo,real,ant,1,
1662,pseudo,factual,ant,1,
1669,pseudo,fake,syn,1,
1670,pseudo,FALSE,syn,1,
1671,pseudo,fictitious,syn,1,
1672,pseudo,forged,syn,1,
1673,pseudo,fraudulent,syn,1,
1674,pseudo,phony,syn,1,
1675,pseudo,sham,syn,1,
1676,pseudo,spurious,syn,1,
1678,pseudo,bogus,syn,1,
1679,pseudo,counterfeit,syn,1,
1680,pseudo,fabricated,syn,1,
1683,membranes,sheet,syn,1,
1686,membranes,skin,syn,1,
1692,membranes,layer,syn,1,
1693,membranes,membrane,syn,1,
1702,composite,combined,syn,1,
1705,composite,admixture,syn,1,
1706,composite,alloy,syn,1,
1707,composite,amalgamation,syn,1,
1708,composite,amalgam,syn,1,
1710,composite,combination,syn,1,
1712,composite,fusion,syn,1,
1713,composite,mixture,syn,1,
1715,composite,combo,syn,1,
1716,composite,consolidation,syn,1,
1718,composite,mix,syn,1,
1727,device,apparatus,syn,1,
1729,device,equipment,syn,1,
1730,device,gadget,syn,1,
1732,device,machine,syn,1,
1738,device,device,syn,1,
1739,device,gizmo,syn,1,
1742,device,instrument,syn,1,
1758,high,short,ant,1,
1765,high,low,ant,1,
1815,high,great,syn,1,
1819,high,lofty,syn,1,
1821,high,soaring,syn,1,
1833,high,raised,syn,1,
1885,density,density,syn,1,
1887,density,prevalence,syn,1,
1891,performance,failure,ant,1,
1894,performance,inaction,ant,1,
1895,performance,idleness,ant,1,
1898,performance,incompetence,ant,1,
1900,performance,weakness,ant,1,
1901,performance,incapacity,ant,1,
1902,performance,inability,ant,1,
1904,performance,loss,ant,1,
1906,performance,act,syn,1,
1911,performance,show,syn,1,
1915,performance,production,syn,1,
1918,performance,presentation,syn,1,
1919,performance,display,syn,1,
1930,performance,performance,syn,1,
1948,current,old,ant,1,
1951,current,old-fashioned,ant,1,
1952,current,modern,syn,1,
1953,current,ongoing,syn,1,
1954,current,present,syn,1,
1955,current,prevailing,syn,1,
1963,current,confirmed,syn,1,
1964,current,conventional,syn,1,
1965,current,customary,syn,1,
1966,current,endorsed,syn,1,
1967,current,established,syn,1,
1968,current,fashionable,syn,1,
1969,current,popular,syn,1,
1970,current,preferred,syn,1,
1971,current,received,syn,1,
1972,current,recognized,syn,1,
1977,current,current,syn,1,
