,Carbon_SynAntList_Full_Refined,word 1,word 2,relationship,label
179,236.0,"[ 5.4350724  -2.6323922  -0.17033996  8.671188    1.706626    0.26253524
 -6.5675497  -1.4445258   4.8557477  -0.65822184 -6.822452   -6.3301654
  4.9247775   1.3648332  -4.1231184   0.10312854  3.2191222  -1.359086
  1.3893247   3.287901    3.2802489   2.2923355   3.5013995   4.8652506
  0.7388309   6.456876   -3.5372698   1.146851    6.7461634  -1.2918663
  3.1530328  -5.390967   -1.177285   -4.5358047   3.40233    -4.5022044
 -5.356489   -4.6812515  -3.7987776  -4.0482044  -3.543214   -0.9492765
  3.8565586  -3.4548864   2.7517648   0.8287046   1.4488162  -0.50458133
  3.5793533   4.474261  ]","[-0.69496673  2.2249594  -1.2821723  -3.5290935  -2.5261726   2.1557477
 -1.2615452   3.0654855   2.680544    0.78468025  0.23138615  2.760365
 -4.7892737  -4.043106    1.6651678  -3.020584   -0.55482906  1.009767
  2.2257779  -0.75599045 -3.0961525   4.140175   -1.5490569   4.8986626
  2.2120037  -2.2981951   1.208965   -0.5787978   3.2499583   2.811283
  1.5176028  -6.098537    0.7009483  -1.7921278  -1.8913155   2.1885395
 -0.15754591  4.1414247   2.741215   -2.2572556  -4.2568407  -2.9473205
 -1.7262943  -2.7287557  -4.30862    -0.52345324  8.807643   -6.3800607
 -0.10997157  3.0497255 ]",0,0
180,238.0,"[ 5.4350724  -2.6323922  -0.17033996  8.671188    1.706626    0.26253524
 -6.5675497  -1.4445258   4.8557477  -0.65822184 -6.822452   -6.3301654
  4.9247775   1.3648332  -4.1231184   0.10312854  3.2191222  -1.359086
  1.3893247   3.287901    3.2802489   2.2923355   3.5013995   4.8652506
  0.7388309   6.456876   -3.5372698   1.146851    6.7461634  -1.2918663
  3.1530328  -5.390967   -1.177285   -4.5358047   3.40233    -4.5022044
 -5.356489   -4.6812515  -3.7987776  -4.0482044  -3.543214   -0.9492765
  3.8565586  -3.4548864   2.7517648   0.8287046   1.4488162  -0.50458133
  3.5793533   4.474261  ]","[-0.07194283  0.6154951  -0.10804103 -0.9485556  -0.48075017 -0.8370936
  0.6868189  -0.02436465  0.9235517  -0.67965627 -1.300607   -0.39491266
 -0.98247975  1.3033099  -0.5909864  -1.464637    0.1850623  -0.16781166
  1.7878081  -0.5893584  -2.284328   -0.0390163   0.09156708 -0.02180703
 -1.7351518  -1.4147692  -0.1388306  -0.12012894 -0.17794113  0.41622186
  1.8264399   0.20201781  1.645716    0.33649892 -2.111383    0.7397376
  0.34492585  1.3342848   1.603779    1.206165    0.27784777 -1.9790338
 -0.44575015 -2.0567672   0.7708934  -2.3687806   2.2859185  -1.7756256
 -1.2053181   2.5831065 ]",0,0
181,239.0,"[ 5.4350724  -2.6323922  -0.17033996  8.671188    1.706626    0.26253524
 -6.5675497  -1.4445258   4.8557477  -0.65822184 -6.822452   -6.3301654
  4.9247775   1.3648332  -4.1231184   0.10312854  3.2191222  -1.359086
  1.3893247   3.287901    3.2802489   2.2923355   3.5013995   4.8652506
  0.7388309   6.456876   -3.5372698   1.146851    6.7461634  -1.2918663
  3.1530328  -5.390967   -1.177285   -4.5358047   3.40233    -4.5022044
 -5.356489   -4.6812515  -3.7987776  -4.0482044  -3.543214   -0.9492765
  3.8565586  -3.4548864   2.7517648   0.8287046   1.4488162  -0.50458133
  3.5793533   4.474261  ]","[ 0.03390222  0.13123964  0.4364294  -0.5091079  -0.76291555  0.41017005
  0.6107622  -0.56479585 -0.69087946 -0.6041201  -0.34171432 -0.39296055
 -0.07637685  0.80262756 -0.41393894  0.11263335 -0.01181973  0.09010967
  0.15184727  0.7197403  -0.23543526  0.00824819  0.43625072  0.0237244
  0.75692916 -0.24498741 -0.35466674  0.11325894  0.06752909  0.21161658
 -0.49683413  0.24705292  0.24800205  0.8226395  -0.05256303 -0.28236064
 -0.1171969   0.4493689   0.2716119  -0.0892612   0.23131433 -0.8541865
  0.08387697 -0.25675565  0.24589011 -0.7174767   1.0997127   0.04028695
 -0.05109483  0.8843302 ]",1,1
182,240.0,"[ 5.4350724  -2.6323922  -0.17033996  8.671188    1.706626    0.26253524
 -6.5675497  -1.4445258   4.8557477  -0.65822184 -6.822452   -6.3301654
  4.9247775   1.3648332  -4.1231184   0.10312854  3.2191222  -1.359086
  1.3893247   3.287901    3.2802489   2.2923355   3.5013995   4.8652506
  0.7388309   6.456876   -3.5372698   1.146851    6.7461634  -1.2918663
  3.1530328  -5.390967   -1.177285   -4.5358047   3.40233    -4.5022044
 -5.356489   -4.6812515  -3.7987776  -4.0482044  -3.543214   -0.9492765
  3.8565586  -3.4548864   2.7517648   0.8287046   1.4488162  -0.50458133
  3.5793533   4.474261  ]","[-0.5026485  -0.10118698 -0.01073873 -1.5862721  -0.9875822   1.0480436
 -0.5912565   0.5391883   0.40989763 -0.22215825  0.05993271  0.48870215
 -1.6820011  -1.1027771   0.99028736 -1.0354211  -0.27952078  0.14371055
  0.5456784  -0.987544   -1.3335893   1.0105475  -0.61125773  1.9619462
 -0.12791257 -1.1608895   0.59093565 -0.26575884  0.57420176  1.9759936
  0.38587    -3.293159    0.44297642 -0.9838758  -0.709183    0.63087624
 -0.92892814  1.7797194   1.2164193  -0.6950275  -1.6095996  -2.440843
 -0.98786414 -0.43090105 -1.832717    0.11856959  3.331452   -2.7558668
 -0.07587244  1.2072909 ]",0,0
183,241.0,"[ 5.4350724  -2.6323922  -0.17033996  8.671188    1.706626    0.26253524
 -6.5675497  -1.4445258   4.8557477  -0.65822184 -6.822452   -6.3301654
  4.9247775   1.3648332  -4.1231184   0.10312854  3.2191222  -1.359086
  1.3893247   3.287901    3.2802489   2.2923355   3.5013995   4.8652506
  0.7388309   6.456876   -3.5372698   1.146851    6.7461634  -1.2918663
  3.1530328  -5.390967   -1.177285   -4.5358047   3.40233    -4.5022044
 -5.356489   -4.6812515  -3.7987776  -4.0482044  -3.543214   -0.9492765
  3.8565586  -3.4548864   2.7517648   0.8287046   1.4488162  -0.50458133
  3.5793533   4.474261  ]","[-1.5718483   2.1522398  -1.9387591  -4.7186     -2.191424    2.830914
 -0.99542     3.869759    0.6241135   1.210568   -0.19760083  2.299105
 -5.7153115  -4.358283    2.006644   -1.739498    0.355055   -0.08196994
  1.5749035  -0.5147095  -2.9305487   4.2186003  -0.58960074  5.4658284
  2.701573   -2.7548676   1.4544045  -2.3677928   3.0670571   4.6106143
  0.76321113 -3.8387012   1.0642202  -0.9535566  -2.5488782   1.1481895
 -1.5849494   4.146288    3.716796   -3.197548   -4.2809715  -3.0125098
 -1.4779124  -1.3719428  -3.5568702  -0.8054473  10.03894    -8.78735
 -0.72391367  1.4202342 ]",0,0
184,245.0,"[ 5.4350724  -2.6323922  -0.17033996  8.671188    1.706626    0.26253524
 -6.5675497  -1.4445258   4.8557477  -0.65822184 -6.822452   -6.3301654
  4.9247775   1.3648332  -4.1231184   0.10312854  3.2191222  -1.359086
  1.3893247   3.287901    3.2802489   2.2923355   3.5013995   4.8652506
  0.7388309   6.456876   -3.5372698   1.146851    6.7461634  -1.2918663
  3.1530328  -5.390967   -1.177285   -4.5358047   3.40233    -4.5022044
 -5.356489   -4.6812515  -3.7987776  -4.0482044  -3.543214   -0.9492765
  3.8565586  -3.4548864   2.7517648   0.8287046   1.4488162  -0.50458133
  3.5793533   4.474261  ]","[-0.34970343 -0.24870943  0.19077612 -0.6053502  -0.29042867  0.24539106
  0.02874466 -0.01362408  0.6952363  -0.18586001 -0.1821768  -0.13302478
 -0.28023794 -0.0357233   0.5234866   0.07864408  0.17755656 -0.11087359
  0.047067    0.23369084 -0.8742085  -0.41368097 -0.47386888  0.91834575
  0.5552877   0.01943054 -0.3265938   0.02694108  0.49042025  0.5873516
  0.30049112 -0.94963187 -0.50871456 -0.15093704 -0.19808596  0.09830151
 -0.28131166 -0.24631844  0.54335165  0.01051166 -0.60549426 -0.7137625
  0.64745134 -1.2426318  -0.48924562 -0.43037397  1.0540097  -0.74702936
 -0.41432485  0.39678556]",0,0
185,247.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[ 0.8849089   2.5274715  -0.66345906  4.05787    -0.721626    0.79012215
  0.6487807  -0.14031683 -2.0622058  -2.383434   -2.721192    2.9811618
  2.997184    0.6069583  -2.31134     0.25583845  4.2150903  -4.243813
 -4.9246197   2.379646    0.11312898  4.5961437  -2.037999    2.8696406
 -2.0696895  -1.8428922   1.8906378   2.3543928  -4.279649   -0.16948642
  0.85865724  2.672664    6.224721    1.199183   -2.3940203   3.653347
 -4.236372    2.8839374   3.8104217  -1.275247    3.2304964  -1.1814508
  3.9486568  -0.13725646  0.7999488  -0.8881296   1.0123175  -1.628547
  2.7670748  -0.2424015 ]",0,0
186,248.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[-2.6567051   1.4544734  -0.6246668  -4.2272234  -2.305791    2.3786702
 -0.8292425   2.9899554  -3.3218858  -4.296922   -1.2784429   0.43039715
 -2.935191    3.3648572  -1.470217   -0.91312766  2.9959307   1.1704051
 -1.0930502   1.2136663  -0.39968473  2.7338457  -2.3615444   0.98475814
  1.7954518  -0.48547322 -0.5807735  -1.4285644  -2.7638295   1.4247158
  2.3446827  -2.3818107   2.193122    1.5131427  -3.300949   -3.2629573
 -4.5667076   0.3376561   1.5734239   2.3525007   2.940253   -3.3652608
  1.9333792  -0.480717   -1.60635     1.1993043   2.7807364  -2.5849526
  1.8894651   4.5761213 ]",1,1
187,249.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[ 2.2902167   0.4253881  -5.4671965  -1.1402134   0.64432174 -2.523676
  4.5654826  -0.2555015  -4.2422156   1.4236219  -3.2528164   3.1152875
  0.44915363  0.5118825  -3.0621731   1.19874     2.5840642  -4.805991
 -2.9840858  -0.78644    -1.5659369   3.0061188  -1.5697503  -0.24382886
 -3.444986   -1.1784595   1.9908018   7.771616   -4.097056   -0.87223077
 -2.1863797   3.211156    4.539404   -1.2736906  -0.12197763  1.7629746
 -3.823629    4.759249    1.9451518  -8.141573    6.700402    0.93600726
  4.938158   -6.954584   -0.17788921 -0.40386584  0.9855972  -0.26374406
  6.512751   -3.460568  ]",0,0
188,250.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[ 0.03396242  0.9994815   0.12834427 -0.52500784 -0.9524986   0.11980916
 -0.2796509  -0.91110015 -0.48080513 -0.5166355  -0.03185606 -0.19013074
  0.60278666  0.33392492 -0.10903957 -0.53432536 -0.35210487 -0.6999441
  0.15311384 -0.40502843 -0.70499235  0.76099586  1.1530224  -0.4864964
 -1.074892   -0.8589888  -1.0109421  -0.45598078 -1.0712297   0.31662014
  0.52384114  0.1962813   1.1340423   1.1291875  -0.3007355   0.35245183
 -0.8149357  -0.991687    0.53301746 -0.08718614  1.3196785   0.0695792
  0.4450811  -0.31925786  0.6689267  -0.56707114  0.7574797   0.13525301
 -0.3973459   0.44796297]",1,1
189,251.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[-0.5953121   1.2613279   0.18259625 -1.4682868  -1.0799752   1.8465837
  0.06831537 -0.33875024 -1.2694036  -1.9066405  -1.085104   -0.4233536
  1.3042676   0.09001955 -0.51968515  0.35304597  1.0665125  -0.1875125
  0.13998502 -0.96399575  0.04715165  0.02065453  1.0245262  -0.3068509
 -0.7244739  -1.7406495  -1.3128574  -0.5512997  -0.8181431   0.56720656
  0.71016014  1.0611392   2.5080192   2.0520732  -0.8488895  -0.22849992
 -0.9395179  -1.0599418  -0.25611544 -0.55187136 -0.05177743 -0.5218979
  0.4056431   0.49612582 -0.15069799 -1.0565829   1.3232911  -1.4427179
 -0.8671228  -0.21000311]",1,1
190,252.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[-1.1379141   0.50685054  0.04283349  0.3984353   0.43752033 -0.23842019
 -0.20103194 -0.49156478 -0.08076011 -1.0412939   0.33839074 -0.16854197
  1.1396606  -0.31448442 -0.56213915 -0.47462928  1.2442552  -1.1338147
 -0.53502995 -0.22571507  0.5242563  -0.26307818  0.38796064 -0.01369319
 -1.5848428  -0.30926457 -0.9756348  -0.38028133 -0.78771985  0.21552493
  0.8395052   0.2812358   0.66247576  1.6457071  -0.5737327  -0.83292085
 -0.90204614  0.2866486   0.84759367  0.31680718  0.7206148  -0.2541313
 -0.21333522 -0.65918696  0.34648627  0.12801571  0.03881871 -0.7351853
  0.20226209  0.50672626]",0,0
191,253.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[ 5.973381   -2.5198073  -6.12137    -0.5467129  -0.40477276 -2.1568272
 -0.22750057  3.4841971  -1.8896194   5.167297   -4.3883944   6.5583744
  1.7103938   0.6081047  -2.9370317   2.878058   -1.3310732  -1.8115493
 -3.6141224  -2.3844016  -4.742783    7.5884852  -5.459119    0.4262402
  1.4419073   0.36228225  5.0957494   3.0234904  -3.60648     0.7880337
  0.81329125  1.0779727   1.7804867   2.336856   -2.9918766   3.2754912
 -1.5213649   3.9085572  -0.49210894 -4.341789    3.9410558   0.83763665
  7.175099   -1.8065431   0.5076851   3.52348     4.4926596   1.4577978
  3.2059484  -2.365145  ]",1,1
192,254.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[-0.19147494  1.6448672  -0.2615823  -0.901655   -2.8563163   2.0225391
  2.0124946  -0.36383912 -1.5997539   0.1301137  -1.2447807  -1.4419246
  1.0534284   0.6324227  -1.8430835   0.4114355   2.3539445  -1.0455143
 -1.464668   -1.1034557   0.40241072  1.5990825   1.4924287  -1.2463164
  0.11696853 -1.6582911  -0.96436554 -1.3573596   0.3853433   1.6625242
  1.0368993   4.7523603   0.67259985  3.839014   -0.7218546   1.7092321
 -1.5981685  -0.38050675  0.8291356   1.1430249   0.21422368  0.37687102
 -0.20647201 -2.2234201  -0.48764437 -1.4624656   1.5229739  -0.9466528
 -1.5974698   0.21399723]",0,0
193,255.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[-1.0031209   1.1484159   0.44648656  1.6156656   1.1259036   1.0503173
  1.2547175  -2.7281966  -4.5401597  -0.7593943  -2.0402534   2.833107
 -0.9651619   5.0491867  -1.1627885  -1.1938608  -1.5148529   0.23721671
  0.87210464  0.21108137  0.00833604 -2.3468      2.8856373  -3.53872
 -0.8816926  -0.83248276 -0.8601272   4.7237377  -0.94152594 -1.3212892
 -1.0338879  -2.6101868   1.0304992   2.5594716   0.01264309  2.9978435
 -1.9309686   0.62094325 -1.3802243  -4.507896    3.0726807  -6.806479
 -0.3976855  -6.1604986   2.6941016   2.8834755   2.74611    -1.8448828
  1.5467688   0.6126964 ]",1,1
194,256.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[ 0.20641682  0.42983156  2.8434415  -2.3647075  -0.95872134  1.5218184
 -0.01411188 -0.55515206 -1.7309321  -3.4518921  -1.9915164  -0.36263895
  1.0479842  -1.4609663  -2.8993943   1.435135    1.7069288  -0.92273366
  0.63280934 -1.2302899  -0.7474431   0.5011587   3.1175578   1.4837846
 -0.2242731  -1.8794315  -2.1359975  -1.4834614  -1.481134    0.7599306
  2.6465237   2.2109547   3.3576138   4.1794343  -0.97455245 -3.342081
 -3.9915395  -1.4693364   0.5019244   0.15531145 -2.0419497  -0.2725984
  0.4395011  -0.01584028 -0.38501137 -1.1914223   0.5916219  -1.6797371
 -2.4554245   0.72175896]",1,1
195,257.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[-0.8668419   0.4445738   1.2174742  -3.2894654  -2.2198663   1.4667873
 -0.6690744  -0.6132602  -2.0452194  -3.7698572  -2.3441029  -0.24158601
  2.7742941  -1.4917375  -3.2573502   1.1819656   2.197265   -1.8171778
  1.2813364  -0.05719797  0.32413074  1.5397301   2.9590003   1.203186
 -1.5897154  -4.112699   -0.94407505 -2.6170406  -0.4657398   1.5367868
  3.8379643   1.9535034   4.478018    4.4299426  -2.9073582  -1.1311965
 -3.713141   -1.2174089   1.353701   -1.9447597   0.28307396 -0.15702507
  1.9195158   0.7642945  -0.5985133  -1.2261698   3.017351   -2.5419142
 -3.1491544  -1.9982784 ]",1,1
196,258.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[-0.30281794  4.7187085  -0.41622972  6.694377    1.8308288   1.5854082
  3.5050976  -1.5088563   4.116943    0.61001486  0.5819512   1.832804
  2.304073    2.5031831  -5.2361827  -4.2733955   1.8930547   5.3204646
 -2.2003617   0.51204425 -1.3092606  -0.03276847  1.3823016   3.3432665
 -3.2748356  -1.0681912   2.919951    1.2740597  -6.0293083  -1.3964921
  0.7338864   2.5114887   0.5907547   2.6317718  -4.2214313  -2.0209212
 -4.5981464   2.2566006   1.9463366   3.7489395   2.047847    2.370647
  4.2727985   1.020562   -2.241265   -0.00829147 -0.12252247 -0.9141814
  3.8138673   4.0250196 ]",1,1
197,259.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[-1.5999485   1.4740517   1.0146981  -1.8925791  -0.8966042  -0.07574926
 -0.07089903 -0.3364855  -3.2570112  -2.6107488  -1.5611948  -1.4188234
  2.6039004  -0.10974231 -1.6835856  -0.32329914  3.1011503  -0.58805436
  0.5900335  -0.63658315 -0.48065427  0.85300124  2.0873287  -0.388103
 -0.83343786 -1.9377327  -0.8960248  -0.97629946 -0.4788244   1.0390774
 -0.314631    1.3236119   3.2942731   1.9914547  -1.5889872  -1.3205477
 -1.6171005  -0.04340949 -0.04867353 -0.23395365 -0.3603249  -0.12381936
  1.4921852  -0.19995534 -0.5163372  -2.0820472   1.372557   -2.0239809
 -1.2236915   0.06250414]",1,1
198,260.0,"[-3.3570843   3.6897197  -3.2487981  -2.5523129   2.1635983   2.7957702
 -0.11716904  4.618355    0.05294466 -2.9783692   1.4865856   1.2771082
 -3.2018893  -0.62083197 -0.08745693 -0.5027348   0.95984477 -1.8459393
 -2.1071076  -1.8144783  -4.528482    1.2375816  -0.2874339   1.3616529
  0.4270388  -1.3182826   0.8089585  -1.8414028  -2.0339425   2.3761175
  2.044178   -3.5619314   1.0272278   2.778363   -1.9294742  -0.39005715
 -1.4560798  -0.18756916  5.1031666   1.0461243   0.7949539  -2.7705553
 -0.83809614 -0.66582835 -0.85884523  0.5778204   2.935003   -4.166164
  0.3340706   4.0004654 ]","[ 1.9362979  -0.5386488  -5.610583    0.8114325  -1.9097723  -8.237655
 -2.6151466   1.2826161  -4.588107   -1.0136081  -2.4978135   4.257508
  2.1779747   2.5532618  -2.503604   -2.1280696  -0.7877191   0.39199117
 -3.9196782  -1.7243712  -2.473348    3.5453405  -6.1393566   5.013338
  2.3084478  -0.58199036  0.7833415  -1.3458811   0.00870201 -1.9899184
  0.66230744 -0.38290492  4.8365474   2.2736442  -3.9558883   3.411487
 -0.8522908   4.9766974  -4.2703676  -5.0098543   7.359656   -0.1416589
  5.038148    1.3855574  -2.1336358   2.1712365   4.0339746  -0.5950725
 -0.6558881  -6.4468327 ]",1,1
