,0,1,2
114,store,put,syn
115,store,keep,syn
116,store,bury,syn
117,store,pack,syn
118,store,lots,syn
119,store,mass,syn
120,store,accrue,syn
121,store,acquire,syn
122,store,assemble,syn
123,store,collect,syn
124,store,compile,syn
125,store,concentrate,syn
126,store,expand,syn
127,store,gain,syn
128,store,grow,syn
129,store,increase,syn
130,store,swell,syn
131,store,accretion,syn
132,store,aggregation,syn
133,store,build-up,syn
134,store,growth,syn
135,store,inflation,syn
136,store,pile,syn
137,store,quantity,syn
138,axis,exteriority,ant
139,axis,outside,ant
140,axis,exterior,ant
141,axis,disorder,ant
142,axis,agreement,ant
143,axis,disorganization,ant
144,axis,heart,syn
145,axis,hub,syn
146,axis,place,syn
147,axis,border,syn
148,axis,channel,syn
149,axis,division,syn
150,axis,group,syn
151,axis,lane,syn
152,axis,list,syn
153,axis,order,syn
154,axis,path,syn
155,axis,road,syn
156,axis,route,syn
157,axis,row,syn
158,axis,series,syn
159,axis,street,syn
160,axis,track,syn
161,axis,train,syn
162,axis,way,syn
163,sliding,ascend,ant
164,sliding,discourage,ant
165,sliding,dissuade,ant
166,sliding,remain,ant
167,sliding,retard,ant
168,sliding,rise,ant
169,sliding,stay,ant
170,sliding,stop,ant
171,sliding,accelerate,syn
172,sliding,drift,syn
173,sliding,drive,syn
174,sliding,drop,syn
175,sliding,fall,syn
176,sliding,flow,syn
177,sliding,glide,syn
178,sliding,move,syn
179,sliding,sag,syn
180,sliding,shift,syn
181,sliding,shove,syn
182,sliding,skate,syn
183,sliding,skid,syn
184,sliding,slip,syn
185,sliding,slither,syn
186,sliding,slump,syn
187,sliding,tumble,syn
188,sliding,veer,syn
189,sliding,downward,syn
190,sliding,collapsing,syn
191,sliding,decreasing,syn
192,sliding,descending,syn
193,sliding,lowering,syn
194,sliding,plunging,syn
195,sliding,sliding,syn
196,sliding,tumbling,syn
197,sliding,weakening,syn
198,content,discontented,ant
199,content,unhappy,ant
200,content,unsatisfied,ant
201,content,upset,ant
202,content,offend,ant
203,content,frustrate,ant
204,content,dissatisfy,ant
205,content,disappoint,ant
206,content,provoke,ant
207,content,trouble,ant
208,content,agitate,ant
209,content,irritate,ant
210,content,aggravate,ant
211,content,worry,ant
212,content,worsen,ant
213,content,intensify,ant
214,content,increase,ant
215,content,incite,ant
216,content,comfortable,syn
217,content,contented,syn
218,content,fulfilled,syn
219,content,satisfied,syn
220,content,willing,syn
221,content,substance,syn
222,content,text,syn
223,content,idea,syn
224,content,matter,syn
225,content,composition,syn
226,content,subject,syn
227,content,size,syn
228,content,satisfy,syn
229,content,gratify,syn
230,content,reconcile,syn
231,content,captivate,syn
232,content,tickle,syn
233,content,indulge,syn
234,content,suffice,syn
235,content,allay,syn
236,content,alleviate,syn
237,content,assuage,syn
238,content,blunt,syn
239,content,calm,syn
240,content,lessen,syn
241,content,mitigate,syn
242,content,mollify,syn
243,content,placate,syn
244,content,quell,syn
245,content,soften,syn
246,content,soothe,syn
247,track,path,syn
248,track,record,syn
249,track,step,syn
250,track,trail,syn
251,track,roadway,syn
252,track,lane,syn
253,track,route,syn
254,track,rail,syn
255,track,course,syn
256,track,street,syn
257,track,road,syn
258,track,line,syn
259,track,highway,syn
260,track,avenue,syn
261,track,boulevard,syn
262,track,corridor,syn
263,track,duct,syn
264,track,passage,syn
265,track,pathway,syn
266,track,sewer,syn
267,track,thoroughfare,syn
268,track,tube,syn
269,track,artery,syn
270,load,use,ant
271,load,little,ant
272,load,discourage,ant
273,load,take,ant
274,load,hurt,ant
275,load,dissuade,ant
276,load,weaken,ant
277,load,injure,ant
278,load,amount,syn
279,load,bundle,syn
280,load,capacity,syn
281,load,consignment,syn
282,load,goods,syn
283,load,haul,syn
284,load,payload,syn
285,load,shipment,syn
286,load,weight,syn
287,load,task,syn
288,load,responsibility,syn
289,load,lade,syn
290,load,stuff,syn
291,load,pile,syn
292,load,carry,syn
293,load,cram,syn
294,load,pack,syn
295,load,stack,syn
296,load,store,syn
297,load,fill,syn
298,load,lots,syn
299,load,mass,syn
300,load,millstone,syn
301,load,bulk,syn
302,load,chunk,syn
303,load,extent,syn
304,load,load,syn
305,load,lot,syn
306,load,measure,syn
307,load,number,syn
308,load,supply,syn
309,load,ton,syn
310,load,volume,syn
311,load,fortify,syn
312,load,mobilize,syn
313,load,prepare,syn
314,load,protect,syn
315,load,provide,syn
316,load,strengthen,syn
317,image,end,ant
318,image,result,ant
319,image,concrete,ant
320,image,appearance,syn
321,image,copy,syn
322,image,drawing,syn
323,image,figure,syn
324,image,form,syn
325,image,icon,syn
326,image,illustration,syn
327,image,likeness,syn
328,image,model,syn
329,image,photograph,syn
330,image,picture,syn
331,image,portrait,syn
332,image,statue,syn
333,image,impression,syn
334,image,perception,syn
335,image,idea,syn
336,image,thought,syn
337,image,notion,syn
338,image,vision,syn
339,image,image,syn
340,image,design,syn
341,image,develop,syn
342,image,devise,syn
343,image,envision,syn
344,image,formulate,syn
345,image,originate,syn
346,image,produce,syn
347,image,realize,syn
348,image,visualize,syn
349,image,approach,syn
350,image,conception,syn
351,image,theory,syn
352,image,view,syn
353,image,appreciation,syn
354,image,conceit,syn
355,image,concept,syn
356,image,interpretation,syn
357,image,realization,syn
358,on,behind,ant
359,on,advanced,syn
360,on,along,syn
361,on,before,syn
362,on,earlier,syn
363,on,forward,syn
364,on,onward,syn
365,on,through,syn
366,horizontally,diagonally,syn
367,horizontally,vertically,syn
368,horizontally,horizontally,syn
369,and,again,syn
370,and,further,syn
371,and,likewise,syn
372,and,more,syn
373,and,still,syn
374,and,too,syn
375,and,also,syn
376,and,extra,syn
377,and,higher,syn
378,and,new,syn
379,and,other,syn
380,in,unfashionable,ant
381,in,old-fashioned,ant
382,in,approach,syn
383,in,connection,syn
384,in,entry,syn
385,in,chic,syn
386,in,elegant,syn
387,in,fashionable,syn
388,in,high-class,syn
389,in,posh,syn
390,in,modern,syn
391,in,ongoing,syn
392,in,present,syn
393,in,prevailing,syn
394,row,peace,ant
395,row,agreement,ant
396,row,harmony,ant
397,row,calm,ant
398,row,agree,ant
399,row,concur,ant
400,row,line,syn
401,row,succession,syn
402,row,tier,syn
403,row,quarrel,syn
404,row,trouble,syn
405,row,controversy,syn
406,row,squabble,syn
407,row,dispute,syn
408,row,sail,syn
409,row,paddle,syn
410,row,argument,syn
411,row,bickering,syn
412,row,blowup,syn
413,row,flap,syn
414,row,run-in,syn
415,row,tiff,syn
416,row,wrangle,syn
417,row,contend,syn
418,row,disagree,syn
419,row,quibble,syn
420,row,altercation,syn
421,row,brawl,syn
422,row,clash,syn
423,row,debate,syn
424,row,disagreement,syn
425,row,exchange,syn
426,row,feud,syn
427,coefficient,harmonious,syn
428,coefficient,collegial,syn
429,coefficient,symbiotic,syn
430,coefficient,interdependent,syn
431,coefficient,united,syn
432,coefficient,concerted,syn
433,coefficient,reciprocal,syn
434,coefficient,coordinated,syn
435,normal,abnormal,ant
436,normal,different,ant
437,normal,disorderly,ant
438,normal,extraordinary,ant
439,normal,irregular,ant
440,normal,rare,ant
441,normal,uncommon,ant
442,normal,untraditional,ant
443,normal,unusual,ant
444,normal,unhealthy,ant
445,normal,sick,ant
446,normal,poor,ant
447,normal,disapproved,ant
448,normal,unpopular,ant
449,normal,common,ant
450,normal,ordinary,ant
451,normal,standard,ant
452,normal,similar,ant
453,normal,usual,ant
454,normal,unconventional,ant
455,normal,infrequent,ant
456,normal,natural,syn
457,normal,orderly,syn
458,normal,ordinary,syn
459,normal,regular,syn
460,normal,routine,syn
461,normal,traditional,syn
462,normal,typical,syn
463,normal,healthy,syn
464,normal,whole,syn
465,normal,reasonable,syn
466,normal,well-adjusted,syn
467,normal,acknowledged,syn
468,normal,approved,syn
469,normal,authorized,syn
470,normal,confirmed,syn
471,normal,conventional,syn
472,normal,customary,syn
473,normal,endorsed,syn
474,normal,established,syn
475,normal,fashionable,syn
476,normal,popular,syn
477,normal,preferred,syn
478,normal,received,syn
479,normal,recognized,syn
480,normal,sanctioned,syn
481,normal,time-honored,syn
482,normal,universal,syn
483,normal,welcomed,syn
484,normal,physical,syn
485,normal,distinctive,syn
486,normal,idiosyncratic,syn
487,normal,innate,syn
488,normal,peculiar,syn
489,normal,singular,syn
490,normal,unique,syn
491,normal,mundane,syn
492,normal,normal,syn
493,normal,obvious,syn
494,normal,prevalent,syn
495,normal,accepted,syn
496,normal,commonplace,syn
497,normal,frequent,syn
498,normal,prosaic,syn
499,normal,usual,syn
500,normal,workaday,syn
501,tool,discourage,ant
502,tool,check,ant
503,tool,stop,ant
504,tool,halt,ant
505,tool,delay,ant
506,tool,cease,ant
507,tool,block,ant
508,tool,slow,ant
509,tool,hinder,ant
510,tool,apparatus,syn
511,tool,appliance,syn
512,tool,device,syn
513,tool,engine,syn
514,tool,gadget,syn
515,tool,gizmo,syn
516,tool,machine,syn
517,tool,means,syn
518,tool,mechanism,syn
519,tool,utensil,syn
520,tool,weapon,syn
521,tool,medium,syn
522,tool,accessory,syn
523,tool,advance,syn
524,tool,expedite,syn
525,tool,further,syn
526,tool,hasten,syn
527,tool,quicken,syn
528,tool,spur,syn
529,tool,stimulate,syn
530,tool,instrument,syn
531,tool,tool,syn
532,diamond,gem,syn
533,diamond,jewel,syn
534,diamond,rhinestone,syn
535,diamond,field,syn
536,diamond,gym,syn
537,diamond,gymnasium,syn
538,diamond,park,syn
539,diamond,ring,syn
540,diamond,rink,syn
541,diamond,square,syn
542,diamond,stadium,syn
543,diamond,stage,syn
544,diamond,course,syn
545,diamond,court,syn
546,diamond,green,syn
547,diamond,range,syn
548,diamond,terrain,syn
549,diamond,track,syn
550,diamond,turf,syn
551,diamond,amphitheater,syn
552,diamond,garden,syn
553,friction,love,ant
554,friction,peace,ant
555,friction,harmony,ant
556,friction,concord,ant
557,friction,agreement,ant
558,friction,pleasure,ant
559,friction,liking,ant
560,friction,accord,ant
561,friction,happiness,ant
562,friction,like,ant
563,friction,approval,ant
564,friction,sympathy,ant
565,friction,respect,ant
566,friction,kindness,ant
567,friction,friendship,ant
568,friction,ratification,ant
569,friction,concurrence,ant
570,friction,authorization,ant
571,friction,understanding,ant
572,friction,juncture,ant
573,friction,agitation,syn
574,friction,erosion,syn
575,friction,irritation,syn
576,friction,resistance,syn
577,friction,discontent,syn
578,friction,disharmony,syn
579,friction,discord,syn
580,friction,hostility,syn
581,friction,antagonism,syn
582,friction,dissension,syn
583,friction,resentment,syn
584,friction,trouble,syn
585,friction,strife,syn
586,friction,hassle,syn
587,friction,animosity,syn
588,friction,quarrel,syn
589,friction,rivalry,syn
590,friction,hatred,syn
591,friction,conflict,syn
592,friction,dispute,syn
593,friction,wrangling,syn
594,friction,bickering,syn
595,friction,animus,syn
596,friction,antipathy,syn
597,friction,disagreement,syn
598,friction,enmity,syn
599,friction,friction,syn
600,friction,rancor,syn
601,friction,competition,syn
602,friction,difference,syn
603,friction,dissent,syn
604,friction,argument,syn
605,friction,clash,syn
606,friction,controversy,syn
607,friction,debate,syn
608,friction,disunity,syn
609,friction,division,syn
610,friction,feud,syn
611,friction,fight,syn
612,friction,misunderstanding,syn
613,friction,opposition,syn
614,friction,spat,syn
615,friction,split,syn
616,friction,squabble,syn
617,friction,tension,syn
618,friction,wrangle,syn
619,longitudinal,immediate,ant
620,longitudinal,short-term,ant
621,longitudinal,lengthwise,syn
622,longitudinal,long,syn
623,longitudinal,long-term,syn
624,that,which,syn
625,that,who,syn
626,that,other,syn
627,that,that,syn
628,that,whatever,syn
629,film,understanding,ant
630,film,light,ant
631,film,brightness,ant
632,film,cognizance,ant
633,film,middle,ant
634,film,interior,ant
635,film,core,ant
636,film,flick,syn
637,film,picture,syn
638,film,cinema,syn
639,film,show,syn
640,film,footage,syn
641,film,shoot,syn
642,film,photograph,syn
643,film,carpet,syn
644,film,cloak,syn
645,film,coat,syn
646,film,coating,syn
647,film,comforter,syn
648,film,layer,syn
649,film,mat,syn
650,film,quilt,syn
651,film,rug,syn
652,film,sheet,syn
653,film,drive-in,syn
654,film,film,syn
655,film,darkness,syn
656,film,fog,syn
657,film,gloom,syn
658,film,mist,syn
659,film,puff,syn
660,film,smog,syn
661,film,smoke,syn
662,film,steam,syn
663,film,vapor,syn
664,film,veil,syn
665,film,blanket,syn
666,film,crust,syn
667,film,glaze,syn
668,film,membrane,syn
669,film,patina,syn
670,film,skin,syn
671,film,varnish,syn
672,film,veneer,syn
673,film,surface,syn
674,spectra,scope,syn
675,spectra,gamut,syn
676,spectra,sphere,syn
677,spectra,range,syn
678,spectra,continuum,syn
679,can,bottle,syn
680,can,bucket,syn
681,can,canister,syn
682,can,jar,syn
683,can,package,syn
684,can,pot,syn
685,can,keep,syn
686,can,commit,syn
687,can,manage,syn
688,can,end,syn
689,can,halt,syn
690,can,hold,syn
691,can,stay,syn
692,decline,increase,ant
693,decline,rise,ant
694,decline,success,ant
695,decline,approve,ant
696,decline,allow,ant
697,decline,accept,ant
698,decline,sanction,ant
699,decline,grant,ant
700,decline,win,ant
701,decline,reach,ant
702,decline,strengthen,ant
703,decline,advance,ant
704,decline,extend,ant
705,decline,expand,ant
706,decline,develop,ant
707,decline,raise,ant
708,decline,improve,ant
709,decline,ascend,ant
710,decline,enlarge,ant
711,decline,grow,ant
712,decline,praise,ant
713,decline,laud,ant
714,decline,compliment,ant
715,decline,forward,ant
716,decline,do,ant
717,decline,continue,ant
718,decline,deterioration,syn
719,decline,downturn,syn
720,decline,drop,syn
721,decline,failure,syn
722,decline,fall,syn
723,decline,recession,syn
724,decline,slump,syn
725,decline,weakening,syn
726,decline,loss,syn
727,decline,slide,syn
728,decline,decrease,syn
729,decline,dip,syn
730,decline,drop-off,syn
731,decline,refuse,syn
732,decline,dismiss,syn
733,decline,deny,syn
734,decline,reject,syn
735,decline,lower,syn
736,decline,return,syn
737,decline,wane,syn
738,decline,dwindle,syn
739,decline,recede,syn
740,decline,sag,syn
741,decline,worsen,syn
742,decline,sink,syn
743,decline,fail,syn
744,decline,diminish,syn
745,decline,deteriorate,syn
746,decline,shrink,syn
747,decline,depreciate,syn
748,decline,weaken,syn
749,decline,dull,syn
750,decline,ebb,syn
751,decline,slacken,syn
752,decline,slow,syn
753,decline,subside,syn
754,decline,taper,syn
755,decline,cease,syn
756,decline,forgo,syn
757,decline,quit,syn
758,decline,refrain,syn
759,decline,renounce,syn
760,decline,shun,syn
761,decline,withhold,syn
762,at,happy,ant
763,at,joyful,ant
764,at,cheerful,ant
765,at,gloomy,syn
766,at,lugubrious,syn
767,at,melancholy,syn
768,at,wistful,syn
769,we,we,syn
770,temperature,cool,ant
771,temperature,advantage,ant
772,temperature,health,ant
773,temperature,climate,syn
774,temperature,cold,syn
775,temperature,condition,syn
776,temperature,heat,syn
777,temperature,warmth,syn
778,temperature,humidity,syn
779,temperature,temperature,syn
780,temperature,Cancer,syn
781,temperature,contamination,syn
782,temperature,defect,syn
783,temperature,disorder,syn
784,temperature,epidemic,syn
785,temperature,fever,syn
786,temperature,flu,syn
787,temperature,illness,syn
788,temperature,infection,syn
789,temperature,inflammation,syn
790,temperature,malady,syn
791,temperature,plague,syn
792,temperature,sickness,syn
793,temperature,stroke,syn
794,temperature,syndrome,syn
795,temperature,virus,syn
796,with,also,syn
797,with,simultaneously,syn
798,with,too,syn
799,with,through,syn
800,second,discourage,ant
801,second,decline,ant
802,second,disagree,ant
803,second,oppose,ant
804,second,dissuade,ant
805,second,dispute,ant
806,second,repudiate,ant
807,second,invalidate,ant
808,second,disprove,ant
809,second,destroy,ant
810,second,disapprove,ant
811,second,contradict,ant
812,second,renounce,ant
813,second,veto,ant
814,second,refuse,ant
815,second,protest,ant
816,second,disallow,ant
817,second,reject,ant
818,second,deny,ant
819,second,moment,syn
820,second,double,syn
821,second,runner-up,syn
822,second,assist,syn
823,second,assistant,syn
824,second,deputy,syn
825,second,supporter,syn
826,second,different,syn
827,second,accept,syn
828,second,advocate,syn
829,second,agree,syn
830,second,authorize,syn
831,second,certify,syn
832,second,confirm,syn
833,second,endorse,syn
834,second,establish,syn
835,second,license,syn
836,second,okay,syn
837,second,permit,syn
838,second,ratify,syn
839,second,recommend,syn
840,second,sanction,syn
841,second,sign,syn
842,second,support,syn
843,second,uphold,syn
844,laser,bar,syn
845,laser,glow,syn
846,laser,radiation,syn
847,laser,ray,syn
848,laser,shaft,syn
849,laser,laser,syn
850,order,disorganization,ant
851,order,unemployment,ant
852,order,lawlessness,ant
853,order,veto,ant
854,order,denial,ant
855,order,forget,ant
856,order,keep,ant
857,order,disorder,ant
858,order,disarrange,ant
859,order,disturb,ant
860,order,disorganize,ant
861,order,form,syn
862,order,line,syn
863,order,plan,syn
864,order,procedure,syn
865,order,regulation,syn
866,order,rule,syn
867,order,structure,syn
868,order,system,syn
869,order,control,syn
870,order,law,syn
871,order,peace,syn
872,order,position,syn
873,order,place,syn
874,order,decree,syn
875,order,instruction,syn
876,order,directive,syn
877,order,permission,syn
878,order,injunction,syn
879,order,direction,syn
880,order,charge,syn
881,order,mandate,syn
882,order,authorization,syn
883,order,application,syn
884,order,shipment,syn
885,order,purchase,syn
886,order,hire,syn
887,order,buy,syn
888,order,direct,syn
889,order,require,syn
890,order,request,syn
891,order,warn,syn
892,order,instruct,syn
893,order,obtain,syn
894,order,tell,syn
895,order,distribute,syn
896,order,file,syn
897,order,conduct,syn
898,order,establish,syn
899,order,assign,syn
900,order,amendment,syn
901,order,bill,syn
902,order,measure,syn
903,order,resolution,syn
904,order,statute,syn
905,order,accommodate,syn
906,order,accustom,syn
907,order,adapt,syn
908,order,alter,syn
909,order,conform,syn
910,order,fine-tune,syn
911,order,fix,syn
912,order,modify,syn
913,order,regulate,syn
914,order,tailor,syn
915,bands,line,syn
916,bands,ring,syn
917,bands,tape,syn
918,bands,gathering,syn
919,bands,corps,syn
920,bands,club,syn
921,bands,company,syn
922,bands,troop,syn
923,bands,collection,syn
924,bands,crew,syn
925,bands,gang,syn
926,bands,party,syn
927,bands,troupe,syn
928,bands,bunch,syn
929,bands,symphony,syn
930,bands,orchestra,syn
931,bands,ensemble,syn
932,bands,cooperative,syn
933,bands,corporation,syn
934,bands,federation,syn
935,bands,guild,syn
936,bands,league,syn
937,bands,organization,syn
938,bands,partnership,syn
939,bands,society,syn
940,bands,tribe,syn
941,bands,union,syn
942,bands,folder,syn
943,bands,notebook,syn
944,band,line,syn
945,band,ring,syn
946,band,tape,syn
947,band,gathering,syn
948,band,corps,syn
949,band,club,syn
950,band,company,syn
951,band,troop,syn
952,band,collection,syn
953,band,crew,syn
954,band,gang,syn
955,band,party,syn
956,band,troupe,syn
957,band,bunch,syn
958,band,symphony,syn
959,band,orchestra,syn
960,band,ensemble,syn
961,band,cooperative,syn
962,band,corporation,syn
963,band,federation,syn
964,band,guild,syn
965,band,league,syn
966,band,organization,syn
967,band,partnership,syn
968,band,society,syn
969,band,tribe,syn
970,band,union,syn
971,band,folder,syn
972,band,notebook,syn
973,this,that,syn
974,fitting,improper,ant
975,fitting,incorrect,ant
976,fitting,unsuitable,ant
977,fitting,irrelevant,ant
978,fitting,inappropriate,ant
979,fitting,apt,syn
980,fitting,felicitous,syn
981,fitting,proper,syn
982,fitting,furniture,syn
983,fitting,compromise,syn
984,fitting,reconciliation,syn
985,fitting,alteration,syn
986,fitting,arrangement,syn
987,fitting,improvement,syn
988,fitting,modification,syn
989,fitting,readjustment,syn
990,fitting,regulation,syn
991,fitting,allowed,syn
992,fitting,justifiable,syn
993,fitting,permissible,syn
994,fitting,pertinent,syn
995,fitting,relevant,syn
996,fitting,desirable,syn
997,fitting,prudent,syn
998,samples,whole,ant
999,samples,case,syn
1000,samples,fragment,syn
1001,samples,pattern,syn
1002,samples,piece,syn
1003,samples,sampling,syn
1004,samples,specimen,syn
1005,samples,savor,syn
1006,samples,examine,syn
1007,samples,sip,syn
1008,samples,inspect,syn
1009,be,quit,ant
1010,be,die,ant
1011,be,depart,ant
1012,be,leave,ant
1013,be,go,ant
1014,be,stop,ant
1015,be,halt,ant
1016,be,cease,ant
1017,be,dwell,syn
1018,be,subsist,syn
1019,be,exist,syn
1020,be,hold,syn
1021,be,linger,syn
1022,be,live,syn
1023,be,persist,syn
1024,be,remain,syn
1025,be,stay,syn
1026,be,survive,syn
1027,be,sustain,syn
1028,for,disagree,ant
1029,for,discourage,ant
1030,for,criticize,ant
1031,for,neglect,ant
1032,for,oppose,ant
1033,for,censure,ant
1034,for,disallow,ant
1035,for,dissuade,ant
1036,for,protest,ant
1037,for,disapprove,ant
1038,for,reject,ant
1039,for,refuse,ant
1040,for,since,syn
1041,for,accept,syn
1042,for,advocate,syn
1043,for,appreciate,syn
1044,for,approve,syn
1045,for,back,syn
1046,for,champion,syn
1047,for,choose,syn
1048,for,encourage,syn
1049,for,endorse,syn
1050,for,pick,syn
1051,for,praise,syn
1052,for,support,syn
1053,growth,decline,ant
1054,growth,decrease,ant
1055,growth,failure,ant
1056,growth,halt,ant
1057,growth,loss,ant
1058,growth,stagnation,ant
1059,growth,stop,ant
1060,growth,worsening,ant
1061,growth,shrinkage,ant
1062,growth,retrogression,ant
1063,growth,retreat,ant
1064,growth,diminishment,ant
1065,growth,stoppage,ant
1066,growth,advance,syn
1067,growth,advancement,syn
1068,growth,expansion,syn
1069,growth,gain,syn
1070,growth,hike,syn
1071,growth,improvement,syn
1072,growth,increase,syn
1073,growth,production,syn
1074,growth,prosperity,syn
1075,growth,rise,syn
1076,growth,success,syn
1077,growth,surge,syn
1078,growth,accretion,syn
1079,growth,aggregation,syn
1080,growth,build-up,syn
1081,growth,growth,syn
1082,growth,inflation,syn
1083,growth,pile,syn
1084,growth,quantity,syn
1085,growth,boost,syn
1086,growth,breakthrough,syn
1087,growth,development,syn
1088,growth,progress,syn
1089,growth,step,syn
1090,growth,upgrading,syn
1091,structure,disorganization,ant
1092,structure,disorder,ant
1093,structure,architecture,syn
1094,structure,arrangement,syn
1095,structure,complex,syn
1096,structure,construction,syn
1097,structure,design,syn
1098,structure,format,syn
1099,structure,formation,syn
1100,structure,framework,syn
1101,structure,network,syn
1102,structure,organization,syn
1103,structure,system,syn
1104,structure,house,syn
1105,structure,edifice,syn
1106,structure,bureaucracy,syn
1107,structure,hierarchy,syn
1108,structure,structure,syn
1109,structure,composition,syn
1110,structure,distribution,syn
1111,structure,form,syn
1112,structure,method,syn
1113,structure,pattern,syn
1114,structure,compound,syn
1115,structure,contour,syn
1116,structure,shape,syn
1117,cage,free,ant
1118,cage,liberate,ant
1119,cage,release,ant
1120,cage,crate,syn
1121,cage,enclosure,syn
1122,cage,jail,syn
1123,cage,pen,syn
1124,cage,carcass,syn
1125,cage,corpse,syn
1126,cage,skeleton,syn
1127,cage,apartment,syn
1128,cage,cage,syn
1129,cage,chamber,syn
1130,cage,cubicle,syn
1131,cage,constrain,syn
1132,cage,detain,syn
1133,cage,hinder,syn
1134,cage,imprison,syn
1135,cage,incarcerate,syn
1136,cage,restrain,syn
1137,cage,restrict,syn
1138,wc,latrine,syn
1139,wc,restroom,syn
1140,wc,toilet,syn
1141,wc,bathroom,syn
1142,wc,lavatory,syn
1143,wc,outbuilding,syn
1144,wc,outhouse,syn
1145,wc,urinal,syn
1146,closed,empty,ant
1147,closed,exposed,ant
1148,closed,bare,ant
1149,closed,open,ant
1150,closed,uncovered,ant
1151,closed,disapproved,ant
1152,closed,bankrupt,syn
1153,closed,locked,syn
1154,closed,sealed,syn
1155,closed,ended,syn
1156,closed,decided,syn
1157,closed,settled,syn
1158,closed,concluded,syn
1159,closed,resolved,syn
1160,closed,restricted,syn
1161,closed,impenetrable,syn
1162,closed,impassable,syn
1163,closed,choked,syn
1164,closed,crowded,syn
1165,closed,glutted,syn
1166,closed,gridlocked,syn
1167,closed,jammed,syn
1168,closed,overcrowded,syn
1169,closed,teeming,syn
1170,closed,camouflaged,syn
1171,closed,capped,syn
1172,closed,closed,syn
1173,closed,coated,syn
1174,closed,concealed,syn
1175,closed,enclosed,syn
1176,closed,hidden,syn
1177,closed,painted,syn
1178,closed,protected,syn
1179,closed,shielded,syn
1180,closed,topped,syn
1181,closed,wrapped,syn
1182,closed,coming,syn
1183,closed,designed,syn
1184,closed,doomed,syn
1185,closed,intended,syn
1186,closed,accepted,syn
1187,closed,approved,syn
1188,closed,confirmed,syn
1189,closed,endorsed,syn
1190,closed,identified,syn
1191,stimulation,discouragement,ant
1192,stimulation,effect,ant
1193,stimulation,result,ant
1194,stimulation,annoyance,ant
1195,stimulation,gloom,ant
1196,stimulation,injury,ant
1197,stimulation,hurt,ant
1198,stimulation,hindrance,ant
1199,stimulation,doubt,ant
1200,stimulation,distrust,ant
1201,stimulation,incentive,syn
1202,stimulation,stimulant,syn
1203,stimulation,element,syn
1204,stimulation,explanation,syn
1205,stimulation,matter,syn
1206,stimulation,motivation,syn
1207,stimulation,motive,syn
1208,stimulation,origin,syn
1209,stimulation,principle,syn
1210,stimulation,purpose,syn
1211,stimulation,root,syn
1212,stimulation,source,syn
1213,stimulation,assistance,syn
1214,stimulation,backing,syn
1215,stimulation,cheer,syn
1216,stimulation,comfort,syn
1217,stimulation,confidence,syn
